# General
## Title
### Total Precipitation
## Abstract
### ERA5
## Date
### 2024-12-06
## Date type
### Publication: Date identifies when the data was issued
## Unit
### m
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : WEMC
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@wemcouncil.org
### Organisation name
#### World Energy & Meteorology Council
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### NA
## Temporal extent
## Begin date
### 1979-01-01-0000
## End date
### 2024-10-31-2300
## Temporal resolution
### 1 month
## Geographic bounding box
### westBoundLongitude -22.00
### eastBoundLongitude 45.00
### southBoundLatitude 27.00
### northBoundLatitude 72.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-01-31,0.2680953892706523,0.0765025687485069,0.1360978991895593,0.0578172335395685,0.0767385457366192,0.1152028975556943,0.0663870861974445,0.048880852480665,0.05207177767751,0.05324758406126,0.054512470942554,0.1225200044742126,0.127921903635654,0.04093543666917,0.101041915744524,0.1376725724636209,0.0764273138687262,0.062396827447986,0.080457180654112,0.1128444670057,0.0,0.0617830181532,0.051746571492801,0.05362615559897,0.23387700323521501,0.0784976501610525,0.0,0.0543120572243361,0.048086791733999996,0.06656384721536,0.1426336960624152,0.08081208971738987,0.0753334040237108,0.0354966507654,0.1722331103084565,0.087915890274144,0.11535150513414,0.07596076990448
1979-02-28,0.1539012921154293,0.0647703281301054,0.1057810516760424,0.060567827454408196,0.0562922818316415,0.100497031302202,0.0553604996481255,0.0445178584854987,0.05681899371357638,0.02408031682801184,0.0327886138287347,0.1089249050549137,0.11106410452143001,0.032278812100327,0.1028562129789751,0.1170735128075806,0.0566853778584586,0.0770910567006351,0.128702141899821,0.12767761508866,0.0,0.0268649623060989,0.078736726535108,0.0350433569767641,0.175804087437723,0.055430924807133,0.0,0.0643727216424004,0.0702798075638,0.0347079008141905,0.2608987904911976,0.0436986394226823,0.0465467076632343,0.02923527791325,0.110785580852363,0.0448185610226414,0.06891113489202,0.061478496619554
1979-03-31,0.1208587027370206,0.1139945612847131,0.0871036519259583,0.1396302788795045,0.02947372342495583,0.2006567628805248,0.0378218401515925,0.0876797625832939,0.1050214576258166,0.09167133655166654,0.0393601445445335,0.0416918899280096,0.0786517111731761,0.039309848734858,0.13609038821189,0.0997187101774367,0.05400502602574,0.1066872012107925,0.045193253379842,0.12133390632371,0.0,0.0804765820825948,0.135301543120294,0.0554814912042972,0.151747208669143,0.0328492594214888,0.0,0.10729053253372,0.1078121313423,0.0598006776284166,0.1258029863618666,0.0578603515162295,0.0339636157734085,0.0583787678144,0.128268657702724,0.0717140246450121,0.052768423127752,0.129504843563887
1979-04-30,0.1867202122055927,0.1170063829219125,0.1217073173411945,0.0774778149660284,0.0810012831092854,0.1252227301159802,0.017972045607988,0.08073461020512,0.08094040317998898,0.0648551477733701,0.0299549134537988,0.1013655531977633,0.06598969135391,0.0385388695219311,0.097475512847548,0.0969537573668673,0.0612611614594688,0.0815723950030338,0.074772534536782,0.118709396665542,0.0,0.0426039332872546,0.088855774587774,0.0353443921815339,0.268763729211441,0.0967097725457149,0.0,0.0710736241901952,0.06059173382,0.0593400411341733,0.09568907232040359,0.0890940862166083,0.0695785634559226,0.05356217225464,0.111055104092155,0.0794275105683154,0.06805129253972908,0.08395584180135
1979-05-31,0.0843030214772016,0.0690509239888696,0.0510342252397313,0.1058811861037179,0.1377639822152316,0.117740062138045,0.0190936945646255,0.0370728823363411,0.0757994753703718,0.0758204928102883,0.0657042017712832,0.1068509853435962,0.04439504713207066,0.063778828699151,0.11179996012568,0.0245872854542536,0.0249475254106957,0.13532532267284,0.07951861366633,0.0374215705118275,0.0,0.0476624586167248,0.095469939904092,0.0543956339690065,0.08146048277461,0.0942122302641525,0.0,0.1075601527324675,0.111404632417,0.04410867649979812,0.0369526332145781,0.09799176391228713,0.0751928550737842,0.08086867463104,0.063824465896054,0.045813580035293,0.08717362078678,0.11879560931303
1979-06-30,0.0763849395923184,0.1914760582691171,0.1088231730983756,0.0802060284699138,0.0890178119091795,0.160408878289389,0.0237501729643055,0.1400783017583669,0.0842556504949153,0.05461366585982133,0.0418546735690653,0.0398090583046146,0.04585690462041731,0.05896056068168,0.073335805201213,0.0746509323246204,0.0907836085576995,0.0661374023843478,0.090691094525803,0.0829207323896,0.0,0.0344653728963849,0.073476055293646,0.0358548049492326,0.14371137673321,0.0600295252602904,0.0,0.0793972271048158,0.1022856042216,0.0737487199720235,0.0164781244518984,0.15127128363411305,0.0894780732706325,0.054443067765961,0.1481701317719045,0.099472834656351,0.0556738078788274,0.0586789713628829
1979-07-31,0.0295493266048008,0.162442361877676,0.087018328775456,0.046856930676766,0.07394053773149938,0.1272421527089835,0.0005752454130775,0.0829252856977311,0.0738196672997859,0.04290595221974148,0.146606170344099,0.03484643251914179,0.03642940523261814,0.10935124048293,0.0437699564615146,0.0906105909228855,0.0721051325699506,0.0400817256767478,0.07547865920425,0.063425690525288,0.0,0.115453244698258,0.051091264193957,0.12298498625951,0.056642034631479,0.0197147019971552,0.0,0.044458074490374797,0.10445867072603,0.0828509338956825,0.037069960811740396,0.10766016947045697,0.0670064692616616,0.1222303067351,0.138927451449621,0.0858282215944942,0.028204850063976,0.05194185496389
1979-08-31,0.0910423004255349,0.140931885978056,0.0841493839795756,0.0819175479466161,0.11614756321919223,0.2031238612818332,0.001135870961333,0.072408720318966,0.08868639971907216,0.10466250163324874,0.1068346445809205,0.0356313581605777,0.020589165953484,0.08735110924605867,0.082644410037645,0.08092096582637,0.0818256573466345,0.1191269167836393,0.0821931278404,0.094244172946085,0.0,0.1075576850272287,0.098937625513865,0.0979568946837797,0.135450729016082,0.0719509884026241,0.0,0.0839987213014669,0.1425155249309,0.0922182179465509,0.0018120486752494,0.1268503731367312,0.0888853642179601,0.0990331809168861,0.108318629378434,0.1056202449613577,0.022440295254009,0.09688707449344
1979-09-30,0.0325190025183331,0.1158537061346001,0.0720891440796454,0.0304089020845518,0.03761163270771683,0.1233480095944329,0.000771653874725,0.095480072645239,0.05725961713760419,0.05472427727026748,0.0693311237571119,0.02108863367386495,0.05052702609464,0.087132339983316,0.042355693005221,0.0804157400036334,0.030146766157948,0.0613770804890493,0.16362810330575,0.090312495371961,0.0,0.0762120977557082,0.028815592661799002,0.0722348385600494,0.077526675688037,0.0483911798349888,0.0,0.040264309890932,0.1632768984842,0.066401513831618,0.0204852760180344,0.042130775594961443,0.0305590505978023,0.06327070992825,0.121025085224832,0.0542907758368985,0.017659592620488,0.060853388932677
1979-10-31,0.1374936956790016,0.0442567443654167,0.0977293577404222,0.0581142799065623,0.0856543181067033,0.1522381254149527,0.0396671447458995,0.028033122357538,0.03120402978916564,0.06285349621376436,0.0201694847918621,0.1316912697738846,0.141294491198216,0.048686981772456,0.1327992496692456,0.0765945150427976,0.0318737730608131,0.117879126549511,0.1649196677775,0.1651144899471582,0.0,0.0099129240640852,0.064334999818017,0.0148921226185334,0.193839517118427,0.0798980985543878,0.0,0.0565438966643942,0.0897627623757316,0.019542276960346522,0.1991814702355089,0.04829291613736214,0.0569119810525739,0.04767810203914,0.083476523246986,0.034559511315727,0.074692182412806,0.085184628693343
